dataset,model,attack,n_test,n_classes,attack_binary,neighborhood_size_mean,neighborhood_size_q0,neighborhood_size_q25,neighborhood_size_q50,neighborhood_size_q75,neighborhood_size_q1,neighborhood_size_minmax,uncertainty_mean,uncertainty_q0,uncertainty_q25,uncertainty_q50,uncertainty_q75,uncertainty_q1,uncertainty_minmax,target_approx_consistency_in_neighborhood_mean,target_approx_consistency_in_neighborhood_q0,target_approx_consistency_in_neighborhood_q25,target_approx_consistency_in_neighborhood_q50,target_approx_consistency_in_neighborhood_q75,target_approx_consistency_in_neighborhood_q1,target_approx_consistency_in_neighborhood_minmax,pred_targets_consistency_in_neighborhood_mean,pred_targets_consistency_in_neighborhood_q0,pred_targets_consistency_in_neighborhood_q25,pred_targets_consistency_in_neighborhood_q50,pred_targets_consistency_in_neighborhood_q75,pred_targets_consistency_in_neighborhood_q1,pred_targets_consistency_in_neighborhood_minmax,target_targets_consistency_in_neighborhood_mean,target_targets_consistency_in_neighborhood_q0,target_targets_consistency_in_neighborhood_q25,target_targets_consistency_in_neighborhood_q50,target_targets_consistency_in_neighborhood_q75,target_targets_consistency_in_neighborhood_q1,target_targets_consistency_in_neighborhood_minmax,targets_and_approxs_consistency_in_neighborhood_mean,targets_and_approxs_consistency_in_neighborhood_q0,targets_and_approxs_consistency_in_neighborhood_q25,targets_and_approxs_consistency_in_neighborhood_q50,targets_and_approxs_consistency_in_neighborhood_q75,targets_and_approxs_consistency_in_neighborhood_q1,targets_and_approxs_consistency_in_neighborhood_minmax,target_diversity_in_neighborhood_mean,target_diversity_in_neighborhood_q0,target_diversity_in_neighborhood_q25,target_diversity_in_neighborhood_q50,target_diversity_in_neighborhood_q75,target_diversity_in_neighborhood_q1,target_diversity_in_neighborhood_minmax,approx_diversity_in_neighborhood_mean,approx_diversity_in_neighborhood_q0,approx_diversity_in_neighborhood_q25,approx_diversity_in_neighborhood_q50,approx_diversity_in_neighborhood_q75,approx_diversity_in_neighborhood_q1,approx_diversity_in_neighborhood_minmax,bacc_test_mean,bacc_test_q0,bacc_test_q25,bacc_test_q50,bacc_test_q75,bacc_test_q1,bacc_test_minmax
diabetes,lin,org,154,2,0,23.51948051948052,1.0,14.0,31.5,32.0,32.0,31.0,0.7759458242386752,0.0886904627186536,0.6381934169823547,0.82720196995892,0.9482220095198415,0.9999968895445528,0.9113064268258992,0.6865661853328908,0.0,0.4545454545454545,0.8181818181818182,1.0,1.0,1.0,0.6961026080890252,0.0,0.5625,0.71875,0.875,1.0,1.0,0.6651322256576039,0.09375,0.5046296296296297,0.7165178571428572,0.875,1.0,0.90625,0.75095621500497,0.0,0.6439075630252101,0.75,0.875,1.0,1.0,0.7411894884266901,4.1305960435927445e-11,0.5435644431995964,0.8283145305407846,0.9692326370430588,1.0,0.999999999958694,0.4348051070834868,4.1305960435927445e-11,4.1305960435927445e-11,0.3372900666170139,0.8786842917318607,1.0,0.999999999958694,0.6757407407407408,0.6757407407407408,0.6757407407407408,0.6757407407407408,0.6757407407407408,0.6757407407407408,0.0
diabetes,lin,zoo,154,2,1,21.116883116883116,1.0,11.0,22.5,32.0,32.0,31.0,0.9651628770779926,0.521949667675576,0.9698546989518784,0.9929758436389504,0.9991594094634405,0.999998591208214,0.47804892353263795,0.538969652954068,0.0,0.3460477941176471,0.6,0.75,1.0,1.0,0.49062944773668715,0.0,0.3684210526315789,0.4772256728778468,0.59375,1.0,1.0,0.5198623630840711,0.0,0.4090909090909091,0.5370879120879121,0.631578947368421,1.0,1.0,0.6730840755732226,0.0,0.6092995169082126,0.6875,0.75,1.0,1.0,0.8832773960197082,4.1305960435927445e-11,0.8658356884568128,0.954434002924965,0.9886994082884974,1.0,0.999999999958694,0.7143655859960432,4.1305960435927445e-11,0.6252624052234231,0.8409958392818019,0.9449160257643531,1.0,0.999999999958694,0.0648148148148148,0.0648148148148148,0.0648148148148148,0.0648148148148148,0.0648148148148148,0.0648148148148148,0.0
diabetes,svm,hsj,154,2,1,24.27922077922078,1.0,16.0,32.0,32.0,32.0,31.0,0.9840601040170887,0.904181732549425,0.978691304386451,0.9920200069494455,0.9979471854878119,1.0,0.09581826745057498,0.5818839123793165,0.0,0.40625,0.6220238095238095,0.78125,1.0,1.0,0.4175208785070255,0.0,0.28125,0.40625,0.53125,0.8,0.8,0.581818513488271,0.21875,0.46875,0.5909926470588236,0.71875,1.0,0.78125,0.6855580674265035,0.0,0.59375,0.6875,0.75,1.0,1.0,0.881958940273721,4.1305960435927445e-11,0.8571484374283717,0.9233289532246787,0.9886994082884974,1.0,0.999999999958694,0.7906724622318434,4.1305960435927445e-11,0.6962122601251458,0.8571484374283717,0.9633682247868907,1.0,0.999999999958694,0.2987037037037037,0.2987037037037037,0.2987037037037037,0.2987037037037037,0.2987037037037037,0.2987037037037037,0.0
diabetes,svm,org,154,2,0,23.51948051948052,1.0,14.0,31.5,32.0,32.0,31.0,0.6979254808947112,0.2078876072132729,0.4931940398921301,0.7420771305981262,0.9005873277836167,1.0,0.7921123927867271,0.6914812427757459,0.0,0.45629370629370625,0.78125,1.0,1.0,1.0,0.6953800756059146,0.2142857142857142,0.5555555555555556,0.71875,0.875,1.0,0.7857142857142858,0.6651322256576039,0.09375,0.5046296296296297,0.7165178571428572,0.875,1.0,0.90625,0.7558781805311906,0.25,0.6428571428571429,0.75,0.875,1.0,0.75,0.7411894884266901,4.1305960435927445e-11,0.5435644431995964,0.8283145305407846,0.9692326370430588,1.0,0.999999999958694,0.4868528814056763,4.1305960435927445e-11,4.1305960435927445e-11,0.5435644431995964,0.8739810481273579,1.0,0.999999999958694,0.7012962962962963,0.7012962962962963,0.7012962962962963,0.7012962962962963,0.7012962962962963,0.7012962962962963,0.0
diabetes,svm,zoo,154,2,1,21.68831168831169,1.0,11.0,26.5,32.0,32.0,31.0,0.928189620500173,0.306209141259559,0.9115964886173703,0.9802783805006939,0.997004969902834,1.0,0.693790858740441,0.5811516164936942,0.0,0.34375,0.6282894736842105,0.84375,1.0,1.0,0.5071486193567686,0.0,0.3333333333333333,0.5,0.65625,1.0,1.0,0.5786091180816411,0.0,0.4375,0.5916666666666667,0.7458333333333333,1.0,1.0,0.7067111303626187,0.25,0.6092032967032966,0.6875,0.7953125000000001,1.0,0.75,0.8300929504689314,4.1305960435927445e-11,0.8112781244591328,0.9283620723948678,0.983888291188477,1.0,0.999999999958694,0.6724206925165486,4.1305960435927445e-11,0.5435644431995964,0.7578784625383954,0.937555375506403,1.0,0.999999999958694,0.1562962962962963,0.1562962962962963,0.1562962962962963,0.1562962962962963,0.1562962962962963,0.1562962962962963,0.0
diabetes,xgb,hsj,154,2,1,22.538961038961038,1.0,11.25,30.5,32.0,32.0,31.0,0.8483512345464121,0.1248662948648725,0.7888778647154038,0.9449394853079408,0.9930294846825993,0.999998952874934,0.8751326580100616,0.6480567545234341,0.0,0.48611111111111105,0.6858552631578947,0.8854166666666666,1.0,1.0,0.3532916118937559,0.0,0.1875,0.3125,0.5,1.0,1.0,0.6366294140613328,0.0,0.5,0.6666666666666666,0.8125,1.0,1.0,0.7419332301713364,0.0,0.6428571428571429,0.75,0.84375,1.0,1.0,0.7723754961833695,4.1305960435927445e-11,0.6962122601251458,0.8571484374283717,0.9744894033980523,1.0,0.999999999958694,0.6679257869106298,4.1305960435927445e-11,0.4488644887230295,0.764253765951168,0.9659836656131343,1.0,0.999999999958694,0.2894444444444444,0.2894444444444444,0.2894444444444444,0.2894444444444444,0.2894444444444444,0.2894444444444444,0.0
diabetes,xgb,org,154,2,0,23.51948051948052,1.0,14.0,31.5,32.0,32.0,31.0,0.3220559883379414,0.0012200234445541,0.03664324139648425,0.1814573974260906,0.5392620462928187,0.999723994507054,0.9985039710624999,0.6776543098222529,0.0,0.5,0.7165178571428572,0.9661458333333334,1.0,1.0,0.6717582535645643,0.0,0.5,0.7165178571428572,0.875,1.0,1.0,0.6651322256576039,0.09375,0.5046296296296297,0.7165178571428572,0.875,1.0,0.90625,0.7493388221548832,0.0,0.6428571428571429,0.7795138888888888,0.875,1.0,1.0,0.7411894884266901,4.1305960435927445e-11,0.5435644431995964,0.8283145305407846,0.9692326370430588,1.0,0.999999999958694,0.5945551392150169,4.1305960435927445e-11,0.2006223243127146,0.709070177506254,0.954434002924965,1.0,0.999999999958694,0.7105555555555556,0.7105555555555556,0.7105555555555556,0.7105555555555556,0.7105555555555556,0.7105555555555556,0.0
diabetes,xgb,zoo,154,2,1,19.766233766233768,1.0,9.0,22.0,32.0,32.0,31.0,0.6393430451848972,0.0011893616542379,0.32005017628077814,0.763668404506876,0.9615607740326648,0.9997919264457852,0.9986025647915473,0.6180773918982867,0.0,0.5,0.6055555555555556,0.8609375,1.0,1.0,0.4366249274071854,0.0,0.25,0.42118226600985215,0.6171875,1.0,1.0,0.6324991754019823,0.0,0.5,0.6363636363636364,0.78125,1.0,1.0,0.7312556865347343,0.0,0.625,0.71875,0.84375,1.0,1.0,0.7421285891486324,4.1305960435927445e-11,0.6962122601251458,0.8904916402194913,0.9749616495551625,1.0,0.999999999958694,0.6741990258239533,4.1305960435927445e-11,0.4488644887230295,0.8112781244591328,0.9852281360342516,1.0,0.999999999958694,0.1035185185185185,0.1035185185185185,0.1035185185185185,0.1035185185185185,0.1035185185185185,0.1035185185185185,0.0
wilt,lin,hsj,968,2,1,22.77995867768595,1.0,12.0,31.5,32.0,32.0,31.0,0.29506091796680517,0.0666637950331926,0.23443539976903324,0.28353367220754666,0.35144800508962964,0.589947550534201,0.5232837555010084,0.9431818181818182,0.0,1.0,1.0,1.0,1.0,1.0,0.9390907988535779,0.5,0.90625,0.96875,1.0,1.0,0.5,0.9023280339869254,0.03125,0.90625,0.96875,1.0,1.0,0.96875,0.9390907988535779,0.5,0.90625,0.96875,1.0,1.0,0.5,0.25340396364585066,4.1305960435927445e-11,4.1305960435927445e-11,0.2006223243127146,0.4488644887230295,1.0,0.999999999958694,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0
wilt,lin,org,968,2,0,22.77995867768595,1.0,12.0,31.5,32.0,32.0,31.0,0.2950609181658291,0.0666637945335392,0.2344354073788713,0.2835336657673566,0.35144799735735427,0.5899475368650283,0.5232837423314891,0.9431818181818182,0.0,1.0,1.0,1.0,1.0,1.0,0.9390907988535779,0.5,0.90625,0.96875,1.0,1.0,0.5,0.9023280339869254,0.03125,0.90625,0.96875,1.0,1.0,0.96875,0.9390907988535779,0.5,0.90625,0.96875,1.0,1.0,0.5,0.25340396364585066,4.1305960435927445e-11,4.1305960435927445e-11,0.2006223243127146,0.4488644887230295,1.0,0.999999999958694,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0
wilt,lin,zoo,968,2,1,2.574380165289256,1.0,1.0,1.0,1.0,32.0,31.0,0.7969932054051388,0.227339489043282,0.7803725852034176,0.8373089911813716,0.8478445982954007,0.9045166747617102,0.6771771857184281,0.9431818181818182,0.0,1.0,1.0,1.0,1.0,1.0,0.9237274568134916,0.0,1.0,1.0,1.0,1.0,1.0,0.8872229564096489,0.0,1.0,1.0,1.0,1.0,1.0,0.9237274568134916,0.0,1.0,1.0,1.0,1.0,1.0,0.03611073471119262,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,1.0,0.999999999958694,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0
wilt,svm,hsj,968,2,1,22.5599173553719,1.0,12.0,31.0,32.0,32.0,31.0,0.6184209319411156,4.1305800264640665e-11,0.444631357312012,0.7500934781110472,0.8697512423276824,1.0,0.9999999999586942,0.8878914241754147,0.0,0.875,0.9545454545454546,1.0,1.0,1.0,0.28055442983847195,0.0,0.0,0.0625,0.6953125,1.0,1.0,0.8980434769357319,0.03125,0.90625,0.96875,1.0,1.0,0.96875,0.9795884227544119,0.0,0.96875,1.0,1.0,1.0,1.0,0.2658997013099707,4.1305960435927445e-11,4.1305960435927445e-11,0.2006223243127146,0.4488644887230295,1.0,0.999999999958694,0.29769010795953493,4.1305960435927445e-11,4.1305960435927445e-11,0.25395048074900045,0.5032583347756457,1.0,0.999999999958694,0.1351588170865279,0.1351588170865279,0.1351588170865279,0.1351588170865279,0.1351588170865279,0.1351588170865279,0.0
wilt,svm,org,968,2,0,22.77995867768595,1.0,12.0,31.5,32.0,32.0,31.0,0.0685009458694894,1.175715233501197e-08,0.00027374356110415,0.004416242014291799,0.03279416157497472,0.9996173995772588,0.9996173878201065,0.8931661234762446,0.0,0.8888888888888888,0.9672043010752689,1.0,1.0,1.0,0.893334439539577,0.0,0.90625,0.96875,1.0,1.0,1.0,0.9023280339869254,0.03125,0.90625,0.96875,1.0,1.0,0.96875,0.9807507091126801,0.0,0.96875,1.0,1.0,1.0,1.0,0.25340396364585066,4.1305960435927445e-11,4.1305960435927445e-11,0.2006223243127146,0.4488644887230295,1.0,0.999999999958694,0.28335957011085416,4.1305960435927445e-11,4.1305960435927445e-11,0.205592508185083,0.4586858162005403,1.0,0.999999999958694,0.9559693318729464,0.9559693318729464,0.9559693318729464,0.9559693318729464,0.9559693318729464,0.9559693318729464,0.0
wilt,svm,zoo,968,2,1,8.570247933884298,1.0,2.0,7.0,13.0,32.0,31.0,0.06590173437974411,4.1305800264640665e-11,4.130580026464068e-11,4.130580026464068e-11,4.130580026464068e-11,0.9998981519176506,0.9998981518763448,0.7935725552700266,0.0,0.7142857142857143,0.8918128654970761,1.0,1.0,1.0,0.21165409399649496,0.0,0.0,0.1,0.2955882352941176,1.0,1.0,0.8193376415406951,0.0,0.75,0.9272486772486773,1.0,1.0,1.0,0.9627654922329002,0.0,1.0,1.0,1.0,1.0,1.0,0.3510866121090633,4.1305960435927445e-11,4.1305960435927445e-11,4.1305960435927445e-11,0.7219280948873623,1.0,0.999999999958694,0.375325583762616,4.1305960435927445e-11,4.1305960435927445e-11,0.36229583083114847,0.7642045065086203,1.0,0.999999999958694,0.0164293537787513,0.0164293537787513,0.0164293537787513,0.0164293537787513,0.0164293537787513,0.0164293537787513,0.0
wilt,xgb,hsj,968,2,1,22.84297520661157,1.0,12.0,32.0,32.0,32.0,31.0,0.6082987318536951,1.6457806887016628e-10,0.3368488341961707,0.6579846484441529,0.9213247269965419,0.9999999321942132,0.9999999320296352,0.9010924542638813,0.0,0.90625,0.96875,1.0,1.0,1.0,0.09904550124210398,0.0,0.0,0.03125,0.10390199637023587,0.96875,0.96875,0.8947281651167897,0.03125,0.8872549019607843,0.96875,1.0,1.0,0.96875,0.9812584348019314,0.7272727272727273,0.96875,1.0,1.0,1.0,0.2727272727272727,0.278462613701191,4.1305960435927445e-11,4.1305960435927445e-11,0.2006223243127146,0.4537163391869449,1.0,0.999999999958694,0.25126938970293156,4.1305960435927445e-11,4.1305960435927445e-11,0.2006223243127146,0.4488644887230295,1.0,0.999999999958694,0.1112814895947426,0.1112814895947426,0.1112814895947426,0.1112814895947426,0.1112814895947426,0.1112814895947426,0.0
wilt,xgb,org,968,2,0,22.77995867768595,1.0,12.0,31.5,32.0,32.0,31.0,0.021400423953089116,1.3902913044344716e-06,0.0005207739128131751,0.0011419314092331,0.0027503582307722247,0.991124251196512,0.9911228609052076,0.9083173182838026,0.0,0.9083806818181819,0.96875,1.0,1.0,1.0,0.9086133067285379,0.03125,0.90625,0.96875,1.0,1.0,0.96875,0.9023280339869254,0.03125,0.90625,0.96875,1.0,1.0,0.96875,0.9822712422626778,0.6666666666666666,0.96875,1.0,1.0,1.0,0.33333333333333337,0.25340396364585066,4.1305960435927445e-11,4.1305960435927445e-11,0.2006223243127146,0.4488644887230295,1.0,0.999999999958694,0.2275596192110294,4.1305960435927445e-11,4.1305960435927445e-11,0.2006223243127146,0.3736608914070043,1.0,0.999999999958694,0.8887185104052574,0.8887185104052574,0.8887185104052574,0.8887185104052574,0.8887185104052574,0.8887185104052574,0.0
